,id,name,region
348,604e560701d675f81a96a982,Circuitry Gaming,NA
349,6020bc96f1e4807cc7003e29,Complexity Gaming,NA
350,605aca6853a71a78eacbc155,FaZe Clan,NA
351,6020c737f1e4807cc704a1fa,Farmville,NA
352,6052aee4decc2ea0859dca06,Flashes of Brilliance,NA
353,6020bc70f1e4807cc70023a5,G2 Esports,NA
354,60b345f8fec4a0857e7b9b7d,Gentlemen,NA
355,6020bc70f1e4807cc70023fd,Ghost Gaming,NA
356,6020c306f1e4807cc702ce56,Integrity Esports,NA
357,61cf5a62da9d7ca1c7ba3b0d,Manzana,NA
358,6020bc70f1e4807cc70023a0,NRG Esports,NA
359,61d16934c437fde7e02cb5b4,NXT Esports,NA
360,6020bca8f1e4807cc7004b59,Nefarious,NA
361,6020bd98f1e4807cc700dc33,Oxygen Esports,NA
362,6162cbebf8090ec745287379,Pickup,NA
363,6020c1bef1e4807cc70258d0,Pioneers,NA
364,6020bd98f1e4807cc700dc08,Pittsburgh Knights,NA
365,61598022f8090ec745286ce0,Prestige Esports,NA
366,6020bc96f1e4807cc7003e2f,RBG Esports,NA
367,6020c3eef1e4807cc7033147,Randoms,NA
368,6020bc70f1e4807cc7002386,Rogue,NA
369,6081af87b35d3cf552e29721,Shopify Rebellion,NA
370,6020bc70f1e4807cc7002389,Spacestation Gaming,NA
371,6020bd98f1e4807cc700dc34,Susquehanna Soniqs,NA
372,602b2e94a34823c27b17b8b5,Team .EXE,NA
373,60ac16e8c8a2cd889fbbc45b,Team DVS,NA
374,6020bc70f1e4807cc70023b2,Team Envy,NA
375,60c8760388116f536df96be7,Team PWR,NA
376,6118c57d87f814e9fbfff817,Top Leh,NA
377,6155f238f8090ec745286bd0,Torrent,NA
378,6020bda0f1e4807cc700e078,True Neutral,NA
379,6020c1cdf1e4807cc7025d03,Version1,NA
380,6020c306f1e4807cc702ce5f,Vibrance,NA
381,6020c1bff1e4807cc7025907,XSET,NA
382,6156be6e143c37878b238335,Yo NA,NA
383,6020bd97f1e4807cc700dbe0,eUnited,NA
384,6020bd6bf1e4807cc700c5fe,sup,NA
385,6020c717f1e4807cc70490d6,1620 Kings,OCE
386,61ee7c03da9d7ca1c7ba5eb7,Allardice Gaming,OCE
387,61d80a3dc437fde7e02cb5b7,Antic Esports,OCE
388,61dc0fc7c437fde7e02cb9d7,BAD,OCE
